LOCATEID,FIPSCOUNTY,POOLSIZE,ISPOS,LOGITUDE,LATITUDE,WEEK_NEW,UNIQ_ID
NSG29,COOK,50,0,-87.766116,42.143945,20,No_060_NS0015
NSG3,COOK,50,0,-87.7118,42.059166,20,No_060_NS0002
NSG3,COOK,40,0,-87.7118,42.059166,20,No_060_NS0003
NSG5,COOK,50,0,-87.761766,42.097216,20,No_060_NS0004
NSG5,COOK,50,0,-87.761766,42.097216,20,No_060_NS0005
NSG5,COOK,50,0,-87.761766,42.097216,20,No_060_NS0006
NSG9,COOK,50,0,-87.781716,42.117633,20,No_060_NS0007
NWAH2,COOK,50,0,-87.998563,42.083591,20,No_061_43
NWAH2,COOK,50,0,-87.998563,42.083591,20,No_061_56
NWBG1,COOK,50,0,-87.97649,42.14123,20,No_061_65
NWBR2,COOK,50,0,-88.16306,42.1139,20,No_061_39
NWBR2,COOK,50,0,-88.16306,42.1139,20,No_061_48
NWBT1,COOK,50,0,-88.17953,41.99677,20,No_061_36
NWDP,COOK,50,0,-87.92988,42.04765,20,No_061_72
NWEG2,COOK,50,0,-88.04102,42.00442,20,No_061_64
NWEGSH,COOK,49,0,-87.97607,42.02747,20,No_061_53
NWEGSH,COOK,50,0,-87.97607,42.02747,20,No_061_69
NWGL2,COOK,50,0,-87.849346,42.065177,20,No_061_68
NWHE4,COOK,57,0,-88.104243,42.103473,20,No_061_49
NWNB1,COOK,50,0,-87.860278,42.115833,20,No_061_60
NWPA1,COOK,51,0,-88.0527,42.1045,20,No_061_50
on,COOK,50,0,-87.79174,41.90527,20,De_018_dv64
on,COOK,48,0,-87.79174,41.90527,20,De_018_dv65
op,COOK,22,0,-87.78848,41.8713,20,De_018_dv66
rf,COOK,50,0,-87.82272,41.9058,20,De_018_dv42
rf,COOK,50,0,-87.82272,41.9058,20,De_018_dv61
rf,COOK,50,0,-87.82272,41.9058,20,De_018_dv62
rf,COOK,50,0,-87.82272,41.9058,20,De_018_dv63
rp,COOK,50,0,-87.81937,41.73735,20,De_018_dv44
rp,COOK,50,0,-87.81937,41.73735,20,De_018_dv45
rp,COOK,12,0,-87.81937,41.73735,20,De_018_dv46
su,COOK,40,0,-87.80536,41.78853,20,De_018_dv43
TRAP 3,COOK,24,0,-87.7178,42.0445,20,SK_068_052015-3
TRAP 4,COOK,38,0,-87.7607,42.0327,20,SK_068_052015-4
TRAP 7,COOK,89,0,-87.7402,42.0235,20,SK_068_052015-7
WCHD1,WILL,50,0,-88.04039,41.30351,20,WI_079_1501WCHD2
WCHD10,WILL,26,0,-87.616758,41.433593,20,WI_079_1510WCHD1
WCHD16,WILL,50,0,-87.950095,41.616909,20,WI_079_1516WCHD1
WCHD16,WILL,13,0,-87.950095,41.616909,20,WI_079_1516WCHD2
WCHD24,WILL,42,0,-87.81483,41.488883,20,WI_079_1524WCHD2
WCHD27,WILL,15,0,-87.68861,41.44869,20,WI_079_1527WCHD2
WCHD3,WILL,11,0,-87.58277,41.30723,20,WI_079_1503WCHD2
WCHD31,WILL,12,0,-88.1991,41.50903,20,WI_079_1531WCHD1
WCHD32,WILL,34,0,-88.002389,41.449548,20,WI_079_1532WCHD2
we,COOK,7,0,-87.88832,41.85585,20,De_018_dv56
WILL 03,WILL,50,0,-88.0982,41.7273,20,ID_034_I033
WILL 03,WILL,50,0,-88.0982,41.7273,20,ID_034_I045
ws,COOK,14,0,-87.88511,41.73975,20,De_018_dv47
15,MCHENRY,27,0,-88.26823,42.2226,21,MC_053_142015
17,MCHENRY,50,0,-88.23534,42.19053,21,MC_053_152015
17,MCHENRY,50,0,-88.23534,42.19053,21,MC_053_162015
17,MCHENRY,50,0,-88.23534,42.19053,21,MC_053_182015
17,MCHENRY,50,0,-88.23534,42.19053,21,MC_053_192015
17,MCHENRY,50,0,-88.23534,42.19053,21,MC_053_212015
17,MCHENRY,50,0,-88.23534,42.19053,21,MC_053_222015
17,MCHENRY,50,0,-88.23534,42.19053,21,MC_053_232015
17,MCHENRY,50,0,-88.23534,42.19053,21,MC_053_242015
17,MCHENRY,50,0,-88.23534,42.19053,21,MC_053_252015
18,MCHENRY,1,0,-88.29916,42.27934,21,MC_053_92015
21,COOK,50,0,-87.7319,41.6123,21,CO_016_1
23,MCHENRY,50,0,-88.62511,42.41502,21,MC_053_12015
23,MCHENRY,50,0,-88.62511,42.41502,21,MC_053_22015
23,MCHENRY,50,0,-88.62511,42.41502,21,MC_053_42015
23,MCHENRY,50,0,-88.62511,42.41502,21,MC_053_52015
23,MCHENRY,50,0,-88.62511,42.41502,21,MC_053_62015
23,MCHENRY,50,0,-88.62511,42.41502,21,MC_053_72015
23,MCHENRY,50,0,-88.62511,42.41502,21,MC_053_82015
24,MCHENRY,50,0,-88.278436,42.349945,21,MC_053_602015
24,MCHENRY,50,0,-88.278436,42.349945,21,MC_053_612015
24,MCHENRY,21,0,-88.278436,42.349945,21,MC_053_622015
25,COOK,20,0,-87.790602,41.713899,21,CO_016_2
30,COOK,15,0,-87.8158,41.7076,21,CO_016_3
34,WILL,16,0,-88.041474,41.304663,21,WI_079_1534WCHD3
106,DUPAGE,50,0,-88.164476,41.969188,21,DU_019_C15016
109,DUPAGE,50,0,-88.24924,41.950872,21,DU_019_C15017
110,DUPAGE,50,0,-88.1743,41.9347,21,DU_019_C15018
201,DUPAGE,50,0,-88.117762,41.963811,21,DU_019_E15014
208,DUPAGE,50,0,-88.01989,41.97552,21,DU_019_E15015
301,DUPAGE,32,0,-88.0174,41.9691,21,DU_019_E15016
307,DUPAGE,50,0,-87.9501,41.9157,21,DU_019_E15017
310,DUPAGE,47,0,-999,-999,21,DU_019_E15018
401,DUPAGE,50,0,-88.209927,41.890016,21,DU_019_C15019
406,DUPAGE,50,0,-88.18793,41.82422,21,DU_019_C15020
407,DUPAGE,50,0,-88.1522,41.8604,21,DU_019_C15021
501,DUPAGE,50,0,-88.116694,41.872809,21,DU_019_C15023
511,DUPAGE,50,0,-88.0537,41.8867,21,DU_019_SE15021
513,DUPAGE,50,0,-88.128046,41.9008,21,DU_019_C15024
516,DUPAGE,22,0,-88.127003,41.932635,21,DU_019_C15025
604,DUPAGE,50,0,-88.0085,41.8489,21,DU_019_E15019
609,DUPAGE,50,0,-87.97725,41.87746,21,DU_019_E15020
610,DUPAGE,50,0,-88.007449,41.906584,21,DU_019_E15021
704,DUPAGE,50,0,-88.30694,41.7665,21,DU_019_C15026
707,DUPAGE,50,0,-88.111,41.8028,21,DU_019_C5027
802,DUPAGE,50,0,-88.087313,41.773075,21,DU_019_SE15022
808,DUPAGE,50,0,-88.0618,41.7579,21,DU_019_SE15023
901,DUPAGE,50,0,-88.0167,41.7926,21,DU_019_SE15024
902,DUPAGE,50,0,-87.9612,41.7866,21,DU_019_SE15025
904,DUPAGE,12,0,-999,-999,21,DU_019_SE15026
907,DUPAGE,50,0,-87.9228,41.8064,21,DU_019_SE15027
909,DUPAGE,40,0,-87.9256,41.7584,21,DU_019_SE15028
910,DUPAGE,40,0,-87.9818,41.8148,21,DU_019_SE15029
12 - HOLY CROSS CEM.,COOK,50,0,-87.546317,41.608167,21,So_069_026
12 - HOLY CROSS CEM.,COOK,50,0,-87.546317,41.608167,21,So_069_034
13- LYNWOOD,COOK,50,0,-87.55685,41.514767,21,So_069_020
13- LYNWOOD,COOK,50,0,-87.55685,41.514767,21,So_069_033
14- SKYLINE POOL,COOK,50,0,-87.633033,41.542983,21,So_069_022
15- ALSIP,COOK,33,0,-87.756167,41.67105,21,So_069_019
17- EVERGREEN CEM.,COOK,50,0,-87.709283,41.731217,21,So_069_018
19- OLYMPIA FIELDS,COOK,50,0,-87.703217,41.519033,21,So_069_025
19- OLYMPIA FIELDS,COOK,50,0,-87.703217,41.519033,21,So_069_032
1-MT. GREENWOOD,COOK,50,0,-87.6934,41.6917,21,So_069_016
1-MT. GREENWOOD,COOK,50,0,-87.6934,41.6917,21,So_069_28
2012EV2,COOK,4,0,-87.686906,42.040007,21,EV_024_7
2015EV-01,COOK,25,0,-87.6862,42.0641,21,EV_024_4
2015EV-02,COOK,3,0,-87.725,42.0678,21,EV_024_10
2015EV-03,COOK,5,0,-87.7042,42.0264,21,EV_024_5
2015EV-03,COOK,23,0,-87.7042,42.0264,21,EV_024_8
2015EV-04,COOK,4,0,-87.6996,42.0556,21,EV_024_6
28- MT HOPE CEM,COOK,50,0,-87.690627,41.677762,21,So_069_015
28- MT HOPE CEM,COOK,32,0,-87.690627,41.677762,21,So_069_27
2-CHILDRENS FARM,COOK,50,0,-87.8371,41.65675,21,So_069_017
2-CHILDRENS FARM,COOK,50,0,-87.8371,41.65675,21,So_069_031
3-LRSH,COOK,50,0,-87.876167,41.709833,21,So_069_030
4-WESTERN,COOK,50,0,-87.886033,41.627883,21,So_069_029
6-SOUTHERN,COOK,50,0,-87.616883,41.481883,21,So_069_023
9 - LAHON,COOK,50,0,-87.606317,41.483933,21,So_069_021
br,COOK,50,0,-87.83992,41.83077,21,De_018_dv71
br,COOK,50,0,-87.83992,41.83077,21,De_018_dv87
br,COOK,14,0,-87.83992,41.83077,21,De_018_dv88
bv,COOK,16,0,-87.866029,41.86918,21,De_018_dv92
by,COOK,50,0,-87.90625,41.88705,21,De_018_dv73
by,COOK,50,0,-87.90625,41.88705,21,De_018_dv79
by,COOK,50,0,-87.90625,41.88705,21,De_018_dv93
by,COOK,50,0,-87.90625,41.88705,21,De_018_dv94
by,COOK,7,0,-87.90625,41.88705,21,De_018_dv95
fp,COOK,34,0,-87.82575,41.8755,21,De_018_dv101
hk,COOK,50,0,-87.85477,41.76822,21,De_018_dv76
hk,COOK,20,0,-87.85477,41.76822,21,De_018_dv84
IDPH 05,COOK,13,0,-87.79447,41.94516,21,ID_034_I056
IDPH 05,COOK,50,0,-87.79447,41.94516,21,ID_034_I068
IDPH 101,COOK,11,0,-87.7537,41.6995,21,ID_034_I047
IDPH 101,COOK,50,0,-87.7537,41.6995,21,ID_034_I059
IDPH 102,COOK,3,0,-87.6953,41.7163,21,ID_034_I048
IDPH 102,COOK,22,0,-87.6953,41.7163,21,ID_034_I060
IDPH 103,COOK,19,1,-87.7177,41.7206,21,ID_034_I049
IDPH 103,COOK,50,0,-87.7177,41.7206,21,ID_034_I061
IDPH 104,DUPAGE,50,0,-87.9896,41.8732,21,ID_034_I050
IDPH 104,DUPAGE,50,0,-87.9896,41.8732,21,ID_034_I162
IDPH 105,COOK,15,0,-87.7602,41.7151,21,ID_034_I051
IDPH 105,COOK,50,0,-87.7602,41.7151,21,ID_034_I063
IDPH 106,DUPAGE,9,0,-88.0367,41.8061,21,ID_034_I052
IDPH 106,DUPAGE,50,0,-88.0367,41.8061,21,ID_034_I064
IDPH 109,DUPAGE,7,0,-87.9841,41.6868,21,ID_034_I053
IDPH 109,DUPAGE,50,0,-87.9841,41.6868,21,ID_034_I065
IDPH 111,COOK,14,0,-87.9976,41.6504,21,ID_034_I054
IDPH 111,COOK,42,0,-87.9976,41.6504,21,ID_034_I066
IDPH 112,COOK,35,0,-87.7022,41.7351,21,ID_034_I055
IDPH 112,COOK,50,0,-87.7022,41.7351,21,ID_034_I067
KENDALL03,KENDALL,12,0,-88.2787,41.7137,21,ID_034_I058
KENDALL03,KENDALL,50,0,-88.2787,41.7137,21,ID_034_I070
lg,COOK,50,0,-87.86581,41.81025,21,De_018_dv70
lg,COOK,39,0,-87.86581,41.81025,21,De_018_dv85
lh,COOK,17,0,-87.89658,41.78742,21,De_018_dv77
lh,COOK,34,0,-87.89658,41.78742,21,De_018_dv83
lp,COOK,14,0,-87.89391,41.82378,21,De_018_dv86
lp,COOK,31,0,-87.89391,41.82378,21,De_018_dv78
mp,COOK,7,0,-87.86557,41.89633,21,De_018_dv96
NN,COOK,13,0,-87.816896,41.850487,21,De_018_dv102
NSG13,COOK,50,0,-87.821683,42.110783,21,No_060_NS0021
NSG14,COOK,50,0,-87.74885,42.098383,21,No_060_NS0022
NSG14,COOK,31,0,-87.74885,42.098383,21,No_060_NS0032
NSG17,COOK,50,0,-87.696433,42.022067,21,No_060_NS0023
NSG2,COOK,47,0,-87.8036,42.067666,21,No_060_NS0016
NSG21,COOK,30,0,-87.751133,42.076717,21,No_060_NS0024
NSG22,COOK,50,0,-87.789667,42.04255,21,No_060_NS0025
NSG23,COOK,49,0,-87.798462,42.01703,21,No_060_NS0026
NSG23,COOK,50,0,-87.798462,42.01703,21,No_060_NS0033
NSG23,COOK,32,0,-87.798462,42.01703,21,No_060_NS0034
NSG24,COOK,50,0,-87.497,42.8472,21,No_060_NS0027
NSG25,COOK,43,0,-87.716083,42.085583,21,No_060_NS0028
NSG29,COOK,24,0,-87.766116,42.143945,21,No_060_NS0029
NSG3,COOK,50,0,-87.7118,42.059166,21,No_060_NS0017
NSG3,COOK,26,0,-87.7118,42.059166,21,No_060_NS0030
NSG5,COOK,50,0,-87.761766,42.097216,21,No_060_NS0018
NSG6,COOK,50,0,-87.745233,42.02175,21,No_060_NS0019
NSG6,COOK,34,0,-87.745233,42.02175,21,No_060_NS0031
NSG9,COOK,25,0,-87.781716,42.117633,21,No_060_NS0020
NWAH2,COOK,50,0,-87.998563,42.083591,21,No_061_74
NWAH2,COOK,43,0,-87.998563,42.083591,21,No_061_83
NWBG1,COOK,50,0,-87.97649,42.14123,21,No_061_76
NWBG1,COOK,50,0,-87.97649,42.14123,21,No_061_77
NWBR2,COOK,50,0,-88.16306,42.1139,21,No_061_55
NWBR2,COOK,50,0,-88.16306,42.1139,21,No_061_75
NWBR2,COOK,47,0,-88.16306,42.1139,21,No_061_79
NWBR3,COOK,48,0,-88.1284,42.13776,21,No_061_78
NWBT1,COOK,10,0,-88.17953,41.99677,21,No_061_51
NWBT1,COOK,15,0,-88.17953,41.99677,21,No_061_95
NWDP,COOK,50,0,-87.92988,42.04765,21,No_061_98
NWEG2,COOK,41,0,-88.04102,42.00442,21,No_061_94
